Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U NOR1998;26  ,Tibble,Skogstibble sn (nu Skogs-Tibble),Hagunda ,Uppsala,Hembygdsmuseet i Skogs-Tibble.,6635318.158,,,V,,,sten,röd sandsten,fragment av runsten,59.83671627,,59.8586,17.6389,59.83671627,17.6389
U NOR1998;27A $ ,Spånga kyrka,Spånga sn,Sollentuna ,Stockholm,I vapenhuset.,6587543.162,,,V,?,,sten,röd sandsten,fragment av runsten,59.40799318,,59.3293,18.0686,59.40799318,18.0686
U NOR1998;27B M ,Uppsala,Uppsala,,Uppsala,SHM (34821),6639200.16,,,M,,,ben/horn,ben,"runben, revben",59.87148072,,59.8586,17.6389,59.87148072,17.6389
U NOR2000;21 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1150-1200,,,ben/horn,ben,"runben, revben",59.62918024,,59.6165,17.7235,59.62918024,17.7235
U NOR2000;22 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1150-1200,,,sten,täljsten,sländtrissa,59.62914671,,59.6165,17.7235,59.62914671,17.7235
U NOR2000;23 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,första a stunget i runföljden þara,,M b 1100-t,,,ben/horn,ben,"runben, revben",59.62911315,,59.6165,17.7235,59.62911315,17.7235
U NOR2000;24 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M b 1100-t,,,ben/horn,ben,"runben, revben",59.62907957,,59.6165,17.7235,59.62907957,17.7235
U NOR2000;25A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 1070-1090,,,ben/horn,ben,"runben, revben",59.62904595,,59.6165,17.7235,59.62904595,17.7235
U NOR2000;25B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M b 1100-t,,,ben/horn,ben,"runben, revben",59.6290123,,59.6165,17.7235,59.6290123,17.7235
U NOR2000;26 $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1130-1150,,,ben/horn,ben,"runben, revben",59.62897862,,59.6165,17.7235,59.62897862,17.7235
U NOR2000;27A M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M b 1100-t,,,ben/horn,horn,stämnyckel(?),59.62894491,,59.6165,17.7235,59.62894491,17.7235
U NOR2000;27B $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M b 1100-t,,,ben/horn,ben,"runben, revben",59.62891117,,59.6165,17.7235,59.62891117,17.7235
U NOR2000;28A M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.6288774,,59.6165,17.7235,59.6288774,17.7235
U NOR2000;28B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.6288436,,59.6165,17.7235,59.6288436,17.7235
U NOR2000;29  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 1000-t,,,ben/horn,horn,kamskena,59.62880977,,59.6165,17.7235,59.62880977,17.7235
U NOR2000;30A $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,t-runan är stupad,,V/M 1066-1186,,,ben/horn,ben,"runben, revben",59.62877591,,59.6165,17.7235,59.62877591,17.7235
U NOR2000;30B $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 1073-1093,,,ben/horn,ben,runben,59.62874202,,59.6165,17.7235,59.62874202,17.7235
U NOR2000;31A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V s 1000-t,,,ben/horn,ben,"runben, revben",59.62870811,,59.6165,17.7235,59.62870811,17.7235
U NOR2000;31B  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,f-runan spegelvänd med lågt ansatta bistavar,,V 1075-1095,,,ben/horn,ben,"runben, revben",59.62867416,,59.6165,17.7235,59.62867416,17.7235
U NOR2000;32A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,r-runan spegelvänd,,V 1065-1085,,,ben/horn,ben,"runben, fragment",59.62864018,,59.6165,17.7235,59.62864018,17.7235
U NOR2000;32B $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,"tre bindrunor i <raþ> <þat>, två lönnrunor på sida B",,V/M 1065-1185,,,ben/horn,nötkreatur,"runben, revben",59.62860617,,59.6165,17.7235,59.62860617,17.7235
U NOR2000;33  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M 1055-1175,,,ben/horn,ben,"runben, revben, fragment",59.62857213,,59.6165,17.7235,59.62857213,17.7235
U NOR2000;34A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V s 1000-t,,,ben/horn,ben,"runben, revben",59.62853806,,59.6165,17.7235,59.62853806,17.7235
U NOR2000;34B  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V s 1000-t,,,ben/horn,ben,"runben, revben",59.62850396,,59.6165,17.7235,59.62850396,17.7235
U NOR2000;36  ,Spånga kyrka,Spånga sn,Sollentuna ,Stockholm,F.n. på Stockholms stadsmuseum.,6587553.162,,,V,,,sten,röd sandsten,fragment av gravmonument,59.40731234,,59.3293,18.0686,59.40731234,18.0686
