Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
GR 35 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D12016)",,,,M,,,trä,trä,armstöd till stol eller rorkult?,,
GR 36 M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11752,315)",,,,M,,,trä,trä,trådspole,,
GR 37 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11986), deponeret i Forhistorisk Museum Moesgård",,,,M,,,sten,täljsten,sländtrissa,,
GR 38 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11853)",,,,M,,,trä,trä,tunnstav,,
GR 39 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11822)",,,,M,,,trä,trä,tunnstav,,
GR 40 M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11886)",,,,M,,,trä,trä,botten av kärl,,
GR 41 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11697)",,,,M,,,trä,trä,"tallrik, fragment",,
GR 42 M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11753)",,spegelvänd þ-runa,,M,,,trä,trä,radband,,
GR 43 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11885)",,Speciell c- eller x-runa i luc. Knappast z utan vanlig stungen s-runa i sion och misial. b-runan har endast en nedre båge. I saða d- eller ð-runa. Spegelvänd k-runa transl. som q.,,M,,,trä,trä,"pinne, amulett",,
GR 44 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11887)",,,,M,,,trä,trä,pinne,,
GR 45 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11888)",,,,M,,,trä,trä,fragment av tunnstav?,,
GR 46 M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11751)",,,,M,,,trä,trä,pinne,,
GR 47 $M ,Kilaarsarfik/Sandnes (V 51),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D11918)",,,,M,,,sten,täljsten,täljstensfragment,,
GR 48 M ,Umiviiarsuk (V 52a),,Vesterbygd (Grönland),Sermersooq,"Nationalmuseet, København (D12336,191)",,,,M,,,ben/horn,ben,benskena,,
